feature,mean,std,min,max,non_null
season_winter,0.25177887246852765,0.4341537062729961,False,True,1827
frota_index,1.0161790729981126,0.01689561720204846,1.0,1.0458015524048816,1827
frota_centered,0.0,0.0,0.0,0.0,1827
PM10_Canoas_lag1,18.714728744883416,10.946834810659999,5.74375,88.27,1015
PM10_Canoas_lag2,18.73088356033284,10.94213617785765,5.74375,88.27,1015
PM10_Canoas_lag3,18.74395093735861,10.940190119508285,5.74375,88.27,1015
PM10_Canoas_lag7,18.775293105560223,10.940109916644305,5.74375,88.27,1015
PM10_Canoas_roll_mean_3,18.80477912032807,9.488222583742944,6.0,67.75505555555556,1005
PM10_Canoas_roll_std_3,4.977762571542549,4.520641211094561,0.0,28.793260869565216,1005
PM10_Canoas_roll_mean_7,18.841150401656925,7.693370108713346,6.07875,55.06438775510204,985
PM10_Canoas_roll_std_7,7.065132034460969,4.734545573718433,0.13464222997392764,26.07443545212101,985
PM10_Canoas_roll_mean_14,18.67899613345321,6.629334203202489,6.1449702380952385,45.126080282812424,942
PM10_Canoas_roll_std_14,7.875739396347176,4.421202388609198,0.18489670426189844,22.225823773309603,942
PM10_Canoas_roll_mean_30,17.939111787092752,6.1158475406072474,7.560297895100069,36.79840617876276,789
PM10_Canoas_roll_std_30,7.928695808542394,4.064102715041425,2.189475396983602,20.782875974118387,789
pm10_ratio_3_30,1.0001224120133017,0.35129909140071697,0.223818866258868,2.336751941104,789
pm10_diff_3_30,-0.13870070936288864,6.918559115482544,-25.63294320995369,30.341754437564497,789
precip_roll_sum_7,1.2687280481226155,1.5785309729217123,0.0,14.575,1827
precip_roll_sum_30,5.424040058807461,3.8815374826603115,0.4666666666666664,28.925,1808
dry_streak,1.8631636562671046,2.4723875891646094,0,18,1827
heavy_rain_event,0.09852216748768473,0.29810097182713247,0,1,1827
dispersao_index,0.3575850889625132,0.1928837851936072,0.02437500000000002,1.393875,1827
vento_log,0.8888300878381811,0.1860686219903669,0.45689728174043504,1.5404450409471488,1827
dispersao_rel,0.3887375163815591,0.16123624992255225,0.04098656243130394,0.9794581104339009,1827
temp_x_pm10lag1,382.962953880997,247.87452700934867,48.675,2346.204166666666,1015
temp_x_umid,1514.2275329759807,343.78921810458945,467.6324652777778,2271.1781250000004,1827
temp_x_vento,29.8336830529823,12.081482347282577,6.0758680555555555,74.57031249999999,1827
winter_x_umidade,20.073812029771553,34.90363394604927,0.0,96.70833333333331,1827
winter_x_vento,0.32127180457390353,0.6067390779809021,0.0,3.579166666666667,1827
pm10_anomaly,0.38294180449127074,10.210166873482434,-24.715756104336457,62.54068220213615,1015
pm10_normalized_monthly,1.0338407755178927,0.5889994919188795,0.19533948568998172,4.384360985954021,1015
winter_mean_year,24.247445750183598,1.0948337594839748,23.424119152897635,26.885632331137806,1715
winter_intensity_index,0.759267522883574,0.43712329584884857,0.2231675240552573,3.2831662247262603,910
seasonal_anomaly,0.33710612821866986,11.069391823792344,-29.658907325203746,69.06509267479625,1015
corr_temperatura_pm10,0.37394527567323427,0.43254031146832017,-0.9507525386120385,0.9935846611842221,985
corr_umidade_pm10,-0.19359695552174438,0.4268665617002859,-0.9499218012735845,0.839273212066805,985
corr_vento_velocidade_pm10,-0.37587990963809237,0.4094166401657053,-0.9898055564011129,0.8829238309042384,985
has_target,0.49370552818828684,0.500097259748737,0,1,1827
gap_len,184.08045977011494,238.37133720083096,0,544,1827
is_long_gap,0.5057471264367817,0.500103852945351,0,1,1827
